SpeedItem [upload=false, thread=0, time=3985296586, bytes=1984584]
SpeedItem [upload=false, thread=0, time=3997272621, bytes=1988502]
SpeedItem [upload=false, thread=0, time=4038124803, bytes=2000256]
SpeedItem [upload=false, thread=0, time=4048716701, bytes=2010704]
SpeedItem [upload=false, thread=0, time=4063552747, bytes=2032906]
SpeedItem [upload=false, thread=0, time=4081095840, bytes=2037002]
SpeedItem [upload=false, thread=0, time=4091803608, bytes=2055108]
SpeedItem [upload=false, thread=0, time=4103390605, bytes=2061638]
SpeedItem [upload=false, thread=0, time=4116166948, bytes=2076182]
SpeedItem [upload=false, thread=0, time=4131499229, bytes=2086452]
SpeedItem [upload=false, thread=0, time=4142613698, bytes=2092982]
SpeedItem [upload=false, thread=0, time=4170978456, bytes=2102124]
SpeedItem [upload=false, thread=0, time=4185094458, bytes=2111266]
SpeedItem [upload=false, thread=0, time=4195100765, bytes=2126938]
SpeedItem [upload=false, thread=0, time=4208926733, bytes=2134774]
SpeedItem [upload=false, thread=0, time=4224392029, bytes=2138692]
SpeedItem [upload=false, thread=0, time=4234827691, bytes=2158460]
SpeedItem [upload=false, thread=0, time=4246723398, bytes=2172648]
SpeedItem [upload=false, thread=0, time=4264679819, bytes=2185708]
SpeedItem [upload=false, thread=0, time=4276662622, bytes=2190932]
SpeedItem [upload=false, thread=0, time=4309175177, bytes=2206604]
SpeedItem [upload=false, thread=0, time=4321578041, bytes=2215746]
SpeedItem [upload=false, thread=0, time=4333561711, bytes=2231418]
SpeedItem [upload=false, thread=0, time=4348488542, bytes=2236642]
SpeedItem [upload=false, thread=0, time=4364298474, bytes=2241866]
SpeedItem [upload=false, thread=0, time=4374308617, bytes=2259022]
SpeedItem [upload=false, thread=0, time=4388958126, bytes=2283658]
SpeedItem [upload=false, thread=0, time=4399924195, bytes=2291494]
SpeedItem [upload=false, thread=0, time=4410539309, bytes=2294106]
SpeedItem [upload=false, thread=0, time=4433781498, bytes=2295412]
SpeedItem [upload=false, thread=0, time=4456986623, bytes=2311084]
SpeedItem [upload=false, thread=0, time=4471778125, bytes=2335898]
SpeedItem [upload=false, thread=0, time=4490261174, bytes=2342428]
