SpeedItem [upload=false, thread=0, time=2551463717, bytes=1434476]
SpeedItem [upload=false, thread=0, time=2566474541, bytes=1442000]
SpeedItem [upload=false, thread=0, time=2577017441, bytes=1447016]
SpeedItem [upload=false, thread=0, time=2588274070, bytes=1454540]
SpeedItem [upload=false, thread=0, time=2627685862, bytes=1457048]
SpeedItem [upload=false, thread=0, time=2664641951, bytes=1477112]
SpeedItem [upload=false, thread=0, time=2677726927, bytes=1494668]
SpeedItem [upload=false, thread=0, time=2703800440, bytes=1497176]
SpeedItem [upload=false, thread=0, time=2713960653, bytes=1500938]
SpeedItem [upload=false, thread=0, time=2724823651, bytes=1504700]
SpeedItem [upload=false, thread=0, time=2738258342, bytes=1517240]
SpeedItem [upload=false, thread=0, time=2751096495, bytes=1522256]
SpeedItem [upload=false, thread=0, time=2762954311, bytes=1524764]
SpeedItem [upload=false, thread=0, time=2776514651, bytes=1539812]
SpeedItem [upload=false, thread=0, time=2801320667, bytes=1547336]
SpeedItem [upload=false, thread=0, time=2812106671, bytes=1556114]
SpeedItem [upload=false, thread=0, time=2831372492, bytes=1569908]
SpeedItem [upload=false, thread=0, time=2848478437, bytes=1574924]
SpeedItem [upload=false, thread=0, time=2866798973, bytes=1592480]
SpeedItem [upload=false, thread=0, time=2881485481, bytes=1597496]
SpeedItem [upload=false, thread=0, time=2891882678, bytes=1606274]
SpeedItem [upload=false, thread=0, time=2905796634, bytes=1615052]
SpeedItem [upload=false, thread=0, time=2921166374, bytes=1620068]
SpeedItem [upload=false, thread=0, time=2932632676, bytes=1634196]
SpeedItem [upload=false, thread=0, time=2943135449, bytes=1641386]
SpeedItem [upload=false, thread=0, time=2959070702, bytes=1642640]
SpeedItem [upload=false, thread=0, time=2969567649, bytes=1655180]
SpeedItem [upload=false, thread=0, time=2995355067, bytes=1667720]
SpeedItem [upload=false, thread=0, time=3005776934, bytes=1680260]
SpeedItem [upload=false, thread=0, time=3035144463, bytes=1692800]
SpeedItem [upload=false, thread=0, time=3045480363, bytes=1709102]
SpeedItem [upload=false, thread=0, time=3069830459, bytes=1717880]
